id,id_farmacia,id_client,name_client,product_id,product_name,quantity,price,total_price,date
0,10,755-42-6263,Mr. Alexander Burton,28,Rockstar Punched Fruit Punch Flavor Energy Drink,8,6.99,55.92,17-12-2022
1,11,360-62-6723,Nathaniel Smith,96,SlimFast Advanced Nutrition High Protein Smoothie Vanilla Cream,2,14.49,28.98,30-12-2022
2,0,717-70-6411,Kelly Boyd,29,SlimFast Advanced Nutrition High Protein Smoothie Vanilla Cream,28,14.49,405.72,05-11-2022
3,13,479-88-9081,John Jones,81,Similac NeoSure Infant Formula with Iron 13.1 oz,3,22.99,68.97,15-12-2022
4,7,347-59-3016,Christy Gonzalez,149,Garnier Fructis Sleek & Shine Moroccan Sleek Oil Treatment for Frizzy Hair,22,5.29,116.38,22-10-2022
5,10,150-57-2599,Claire Davidson,198,"Wearever Reusable Women's Super Incontinence Panty Beige, Beige",7,19.99,139.92999999999998,10-10-2022
6,8,324-93-8298,Andrew Myers,19,Walgreens Hand Sanitizer Clear,24,4.79,114.96000000000001,24-11-2022
7,14,360-62-6723,Nathaniel Smith,6,Tranquility Premium Daytime Disposable Absorbent Underwear XXL,26,79.0,2054.0,11-12-2022
8,13,587-85-5236,Jordan Martinez,132,"Johnson's Baby Tear-Free Bedtime Bath, Soothing Aromas",13,7.29,94.77,06-12-2022
9,10,015-77-8712,Oscar Harrell,112,Bounty Essentials Select-A-Size Paper Towels Big Rolls White,22,8.49,186.78,16-12-2022
10,6,593-54-0680,Brenda Werner,5,Colgate Optic White Advanced Teeth Whitening Toothpaste Sparkling White,18,6.79,122.22,07-10-2022
11,14,322-04-7112,Russell Williams,43,Walgreens Hand Sanitizer Clear,28,4.79,134.12,15-11-2022
12,9,213-01-3356,Monique Santana,96,SlimFast Advanced Nutrition High Protein Smoothie Vanilla Cream,29,14.49,420.21,31-12-2022
13,1,356-30-1860,Amber Wallace,85,Schmidt's Natural Deodorant Stick Sage + Vetiver,7,9.99,69.93,23-11-2022
14,13,499-32-1224,Manuel Wright,10,21st Century Acidophilus High-Potency Capsules,15,9.99,149.85,08-12-2022
15,1,796-99-4676,Patricia Mcdonald,129,Walgreens Pocket 5X LED Magnifier With Sleeve,15,6.99,104.85000000000001,29-11-2022
16,10,823-79-7106,Jerry Smith,121,"essie nail polish, sunny business collection, any-fin goes",8,9.0,72.0,13-10-2022
17,3,032-44-8823,Matthew Powers,93,West Loop Men's Thermal Set,5,15.99,79.95,28-10-2022
18,13,754-37-5492,Rebekah Sloan,116,Foligain Stimulating Supplement for Thinning Hair,2,24.99,49.98,28-09-2022
19,7,823-79-7106,Jerry Smith,144,Vichy Mineral Thermal Spa Water Spray from French Volcanoes,30,4.09,122.69999999999999,11-11-2022
20,8,352-57-3702,Michael Torres,67,Scotch Desktop Tape Dispenser,15,9.99,149.85,19-10-2022
21,13,394-47-7605,Kristina Jenkins,75,"NeoCell Beauty Bursts Collagen Soft Chews 2,000 mg Collagen Types 1 & 3 Fruit Punch",4,19.95,79.8,05-11-2022
22,12,069-08-5652,Jenny Stafford,35,Vichy Mineral Thermal Spa Water Spray from French Volcanoes,21,4.09,85.89,27-09-2022
23,13,330-51-1748,Sarah Thomas,150,"Maybelline Volum' Express The Mega Plush Washable Mascara, Very Black",17,8.99,152.83,15-10-2022
24,0,486-44-5631,Brian Jimenez,103,Method All Purpose Cleaning Wipes Pink Grapefruit,17,3.99,67.83,18-12-2022
25,12,254-21-3037,Brian Perry,182,Milani Mascara Highly Rated Mascara Mini,22,6.99,153.78,03-10-2022
26,14,200-65-3875,Latoya Harrington,143,"Philips Norelco Shaving Head Replacement, Reflex Plus MicroAction",11,33.99,373.89000000000004,28-12-2022
27,5,142-80-8421,Melissa Miller,175,"L'Oreal Paris Infallible Pro Gloss Plump Lip Gloss with Hyaluronic Acid, Gleam",0,9.99,0.0,20-10-2022
